Source,Target,Weight
CandidatusKoribacter,Burkholderia,10
Mitsuokella,Burkholderia,10
Rhodoplanes,Burkholderia,10
Mitsuokella,CandidatusKoribacter,10
Rhodoplanes,CandidatusKoribacter,10
Rhodoplanes,Mitsuokella,10
Peptococcus,Burkholderia,9.61514708
Peptococcus,CandidatusKoribacter,9.61514708
Peptococcus,Mitsuokella,9.61514708
Rhodoplanes,Peptococcus,9.61514708
Catenibacterium,Burkholderia,9.40430709
Catenibacterium,CandidatusKoribacter,9.40430709
Mitsuokella,Catenibacterium,9.40430709
Rhodoplanes,Catenibacterium,9.40430709
Staphylococcus,Anaerovorax,9.35776364
Peptococcus,Catenibacterium,8.95447694
Porphyromonas,Anaerococcus,8.92605198
Porphyromonas,g_1-68,8.784906
Peptoniphilus,Anaerococcus,8.77913541
Porphyromonas,Peptoniphilus,8.46633145
Anaerococcus,g_1-68,8.43282479
rc4.4,Macrococcus,8.18023496
Corynebacterium,Abiotrophia,8.1553758
WAL_1855D,g_1-68,8.13594223
WAL_1855D,Anaerococcus,8.08107966
Peptoniphilus,g_1-68,8.0733208
WAL_1855D,Porphyromonas,8.00673405
Pseudomonas,ph2,7.97667828
Roseburia,Lachnospira,7.96874073
Pseudoramibacter,Abiotrophia,7.96546451
Succiniclasticum,Eikenella,7.78040206
Peptoniphilus,Finegoldia,7.74894995
Pyramidobacter,Mogibacterium,7.68213093
ph2,Finegoldia,7.67511302
Pseudoramibacter,Peptostreptococcus,7.66157508
Corynebacterium,Anaerofustis,7.63269553
Pseudoramibacter,Eubacterium,7.47153366
Streptococcus,Atopobium,7.38258651
Corynebacterium,Anaerovorax,7.29303153
Sphaerochaeta,Comamonas,7.26496253
Rothia,Atopobium,7.24041835
Dysgonomonas,Acidaminococcus,7.18155693
Scardovia,Lactobacillus,7.1591755
Peptococcus,Epulopiscium,7.14299512
Porphyromonas,Finegoldia,7.14232496
Scardovia,Abiotrophia,7.13112859
Capnocytophaga,Acinetobacter,7.09667197
Staphylococcus,Corynebacterium,6.96633754
WAL_1855D,Peptoniphilus,6.9423094
Veillonella,Selenomonas,6.90070931
Anaerovorax,Anaerofustis,6.80047409
Rothia,Actinomyces,6.7962716
Mogibacterium,Dysgonomonas,6.73162838
Oxalobacter,Dehalobacterium,6.64612545
Prevotella,Burkholderia,6.64476892
Prevotella,CandidatusKoribacter,6.64476892
Prevotella,Mitsuokella,6.64476892
Rhodoplanes,Prevotella,6.64476892
Staphylococcus,Peptoniphilus,6.63467652
Proteus,Dysgonomonas,6.61276318
Pseudoramibacter,Corynebacterium,6.60005516
Megasphaera,Acidaminococcus,6.56123167
Peptoniphilus,Corynebacterium,6.55525403
ph2,CF231,6.55379374
Porphyromonas,ph2,6.54723815
Streptococcus,Lactobacillus,6.54648894
Dehalobacterium,g_5-7N15,6.53617266
Corynebacterium,Actinomyces,6.50093115
Rothia,Corynebacterium,6.49000089
Eggerthella,Actinomyces,6.48319624
Streptococcus,Rothia,6.47808426
Slackia,Collinsella,6.46716561
Methanobrevibacter,Delftia,6.4503919
Eubacterium,Abiotrophia,6.44381051
Peptostreptococcus,Eubacterium,6.43021318
Anaerofustis,Abiotrophia,6.41914895
Peptostreptococcus,Peptoniphilus,6.39622456
Epulopiscium,Burkholderia,6.31279669
Epulopiscium,CandidatusKoribacter,6.31279669
Mitsuokella,Epulopiscium,6.31279669
Rhodoplanes,Epulopiscium,6.31279669
Lautropia,Aggregatibacter,6.30823777
Streptococcus,Abiotrophia,6.30803103
Oxalobacter,Desulfovibrio,6.29396725
Prevotella,Peptococcus,6.27609714
Staphylococcus,Anaerofustis,6.24864492
Mogibacterium,Enterococcus,6.24715462
WAL_1855D,ph2,6.23611252
Oscillospira,Butyricimonas,6.22853711
Staphylococcus,Lactobacillus,6.20997094
Macrococcus,cc_115,6.20613632
Finegoldia,Anaerococcus,6.19125409
Paraprevotella,Eggerthella,-6.16714068
Pseudomonas,Finegoldia,6.16006366
Lactobacillus,Anaerovorax,6.15635952
Atopobium,Actinomyces,6.12966036
Sutterella,Collinsella,6.06008073
Peptoniphilus,Anaerovorax,6.05774211
Lautropia,Campylobacter,6.04205245
Megasphaera,Anaerostipes,-6.01017023
