ID,#class
g_1-68,Firmicutes
g_5-7N15,Bacteroidetes
Abiotrophia,Firmicutes
Acidaminococcus,Firmicutes
Acinetobacter,Proteobacteria
Actinobacillus,Proteobacteria
Actinomyces,Actinobacteria
Adlercreutzia,Actinobacteria
Aggregatibacter,Proteobacteria
Akkermansia,Verrucomicrobia
Anaerococcus,Firmicutes
Anaerofustis,Firmicutes
Anaerostipes,Firmicutes
Anaerotruncus,Firmicutes
Anaerovorax,Firmicutes
Atopobium,Actinobacteria
Bacteroides,Bacteroidetes
Bifidobacterium,Actinobacteria
Bilophila,Proteobacteria
Blautia,Firmicutes
Bulleidia,Firmicutes
Burkholderia,Proteobacteria
Butyricimonas,Bacteroidetes
Campylobacter,Proteobacteria
Catenibacterium,Firmicutes
CF231,Bacteroidetes
Christensenella,Firmicutes
Clostridium,Firmicutes
Collinsella,Actinobacteria
Comamonas,Proteobacteria
Coprobacillus,Firmicutes
Coprococcus,Firmicutes
Corynebacterium,Actinobacteria
Dehalobacterium,Firmicutes
Delftia,Proteobacteria
Desulfovibrio,Proteobacteria
Dialister,Firmicutes
Dorea,Firmicutes
Eggerthella,Actinobacteria
Eikenella,Proteobacteria
Enterococcus,Firmicutes
Epulopiscium,Firmicutes
Eubacterium,Firmicutes
Finegoldia,Firmicutes
Fusobacterium,Fusobacteria
Geobacillus,Firmicutes
Haemophilus,Proteobacteria
Helicobacter,Proteobacteria
Holdemania,Firmicutes
Lachnospira,Firmicutes
Lactobacillus,Firmicutes
Lactococcus,Firmicutes
Lautropia,Proteobacteria
Leptotrichia,Fusobacteria
Megamonas,Firmicutes
Megasphaera,Firmicutes
Methanobrevibacter,Euryarchaeota
Mitsuokella,Firmicutes
Mogibacterium,Firmicutes
Moryella,Firmicutes
Mucispirillum,Deferribacteres
Neisseria,Proteobacteria
Odoribacter,Bacteroidetes
Oscillospira,Firmicutes
Oxalobacter,Proteobacteria
Pandoraea,Proteobacteria
Paraprevotella,Bacteroidetes
Parvimonas,Firmicutes
Peptococcus,Firmicutes
Peptoniphilus,Firmicutes
Peptostreptococcus,Firmicutes
ph2,Firmicutes
Phascolarctobacterium,Firmicutes
Porphyromonas,Bacteroidetes
Prevotella,Bacteroidetes
Proteus,Proteobacteria
Pseudomonas,Proteobacteria
Pseudoramibacter,Firmicutes
Pyramidobacter,Synergistetes
rc4-4,Firmicutes
Roseburia,Firmicutes
Rothia,Actinobacteria
Ruminococcus,Firmicutes
Scardovia,Actinobacteria
Schwartzia,Firmicutes
Sedimentibacter,Firmicutes
Selenomonas,Firmicutes
Slackia,Actinobacteria
Sphaerochaeta,Spirochaetes
Sphingomonas,Proteobacteria
Staphylococcus,Firmicutes
Streptococcus,Firmicutes
Succiniclasticum,Firmicutes
Succinivibrio,Proteobacteria
Sutterella,Proteobacteria
Turicibacter,Firmicutes
Vagococcus,Firmicutes
Veillonella,Firmicutes
WAL_1855D,Firmicutes
